TimeOffset,UpdateTime,ParentName,ParentConfirmedCount,ParentSuspectedCount,ParentCuredCount,ParentDeadCount,ParentTreatingCount,ParentCuredRate,ParentDeadRate,ParentTreatingRate,ParentDeadDivideCured,ParentCuredDivideDead,ParentConfirmedNorm,ParentSuspectedNorm,ParentCuredNorm,ParentDeadNorm,ParentTreatingNorm,ParentDeadDivideCuredNorm,ParentCuredDivideDeadNorm,ParentTatalConfirmedNorm,ParentTatalSuspectedNorm,ParentTatalCuredNorm,ParentTatalDeadNorm,ParentTatalTreatingNorm
2.833333,"2003-04-24 20:00",安徽,1,0,0,0,1,0,0,1,,,0.1,,0,,0.1,,,0.0001877229,0,0,0,0.0005022602
5.416667,"2003-04-27 10:00",安徽,4,1,0,0,4,0,0,1,,,0.4,,0,,0.4,,,0.0007508917,0.25,0,0,0.002009041
7.416667,"2003-04-29 10:00",安徽,5,3,0,0,5,0,0,1,,,0.5,,0,,0.5,,,0.0009386146,0.75,0,0,0.002511301
9.416667,"2003-05-01 10:00",安徽,7,4,0,0,7,0,0,1,,,0.7,,0,,0.7,,,0.00131406,1,0,0,0.003515821
13.41667,"2003-05-05 10:00",安徽,9,10,0,0,9,0,0,1,,,0.9,,0,,0.9,,,0.001689506,2.5,0,0,0.004520342
14.41667,"2003-05-06 10:00",安徽,9,13,0,0,9,0,0,1,,,0.9,,0,,0.9,,,0.001689506,3.25,0,0,0.004520342
15.41667,"2003-05-07 10:00",安徽,9,11,0,0,9,0,0,1,,,0.9,,0,,0.9,,,0.001689506,2.75,0,0,0.004520342
16.41667,"2003-05-08 10:00",安徽,9,11,0,0,9,0,0,1,,,0.9,,0,,0.9,,,0.001689506,2.75,0,0,0.004520342
18.41667,"2003-05-10 10:00",安徽,10,13,0,0,10,0,0,1,,,1,,0,,1,,,0.001877229,3.25,0,0,0.005022602
20.41667,"2003-05-12 10:00",安徽,10,11,0,0,10,0,0,1,,,1,,0,,1,,,0.001877229,2.75,0,0,0.005022602
22.41667,"2003-05-14 10:00",安徽,10,10,1,0,9,0.1,0,0.9,0,,1,,0.1,,0.9,,,0.001877229,2.5,0.0002016536,0,0.004520342
24.41667,"2003-05-16 10:00",安徽,10,11,3,0,7,0.3,0,0.7,0,,1,,0.3,,0.7,,,0.001877229,2.75,0.0006049607,0,0.003515821
26.41667,"2003-05-18 10:00",安徽,10,8,6,0,4,0.6,0,0.4,0,,1,,0.6,,0.4,,,0.001877229,2,0.001209921,0,0.002009041
27.41667,"2003-05-19 10:00",安徽,10,8,6,0,4,0.6,0,0.4,0,,1,,0.6,,0.4,,,0.001877229,2,0.001209921,0,0.002009041
28.41667,"2003-05-20 10:00",安徽,10,8,6,0,4,0.6,0,0.4,0,,1,,0.6,,0.4,,,0.001877229,2,0.001209921,0,0.002009041
29.41667,"2003-05-21 10:00",安徽,10,8,7,0,3,0.7,0,0.3,0,,1,,0.7,,0.3,,,0.001877229,2,0.001411575,0,0.001506781
30.41667,"2003-05-22 10:00",安徽,10,8,7,0,3,0.7,0,0.3,0,,1,,0.7,,0.3,,,0.001877229,2,0.001411575,0,0.001506781
31.41667,"2003-05-23 10:00",安徽,10,8,7,0,3,0.7,0,0.3,0,,1,,0.7,,0.3,,,0.001877229,2,0.001411575,0,0.001506781
32.41667,"2003-05-24 10:00",安徽,10,8,8,0,2,0.8,0,0.2,0,,1,,0.8,,0.2,,,0.001877229,2,0.001613228,0,0.00100452
33.41667,"2003-05-25 10:00",安徽,10,7,8,0,2,0.8,0,0.2,0,,1,,0.8,,0.2,,,0.001877229,1.75,0.001613228,0,0.00100452
35.41667,"2003-05-27 10:00",安徽,10,6,8,0,2,0.8,0,0.2,0,,1,,0.8,,0.2,,,0.001877229,1.5,0.001613228,0,0.00100452
36.41667,"2003-05-28 10:00",安徽,10,4,9,0,1,0.9,0,0.1,0,,1,,0.9,,0.1,,,0.001877229,1,0.001814882,0,0.0005022602
37.41667,"2003-05-29 10:00",安徽,10,4,9,0,1,0.9,0,0.1,0,,1,,0.9,,0.1,,,0.001877229,1,0.001814882,0,0.0005022602
116.4167,"2003-08-16 10:00",安徽,10,,10,0,0,1,0,0,0,,1,,1,,0,,,0.001877229,,0.002016535,0,0
